what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797428548
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309797432624
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797434202
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797443483
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1309797447597
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1309797449755
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309797452581
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797454297
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797461805
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309797471617
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797473256
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309797476268
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798655975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798657729
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798658933
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798659965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798660901
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798662702
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798670662
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798673461
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798673731
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798675873
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798690144
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1309798719664
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798721367
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309798724808
